Constituency No.,Constituency Name,Candidate Name,Candidate Sex,Candidate Age,Candidate Category, Party Name, VALID VOTES POLLED in General, VALID VOTES POLLED in Postal, Total Valid Votes,Total Electors,Total valid votes polled +NOTA,% votes polled
10,Shamli,BIJENDRA SINGH,M,44,GEN,RLD,33358,193,33551,299856,196347,17.1663784370107
10,Shamli,MANISH KUMAR,M,34,GEN,IND,31629,195,31824,299856,196347,16.2827584089723
10,Shamli,MOHAMMAD ISLAM,M,58,GEN,BSP,17017,97,17114,299856,196347,8.75638283720311
10,Shamli,None of the Above,,,,NOTA,901,0,901,299856,196347,0.460996899399323
10,Shamli,BILAL A,M,27,GEN,PECP,820,0,820,299856,196347,0.419553226978296
10,Shamli,SANJEEV KUMAR,M,40,GEN,IND,379,0,379,299856,196347,0.193915454908261
10,Shamli,SANJEEV,M,34,GEN,IND,294,0,294,299856,196347,0.150425181380023
10,Shamli,MOHD. GUFRAN KAZMI,M,39,GEN,IND,294,0,294,299856,196347,0.150425181380023
10,Shamli,ARVIND KUMAR,M,42,SC,BMUP,277,1,278,299856,196347,0.142238776951178
10,Shamli,OMPAL,M,56,SC,BJD(T),233,0,233,299856,196347,0.119214514495052
10,Shamli,LOKENDRA KUMAR,M,45,GEN,IND,209,0,209,299856,196347,0.106934907851785
11,Budhana,UMESH MALIK,M,51,GEN,BJP,97535,246,97781,359140,241116,40.7709627652921
11,Budhana,PRAMOD TYAGI,M,62,GEN,SP,84462,118,84580,359140,241116,35.2666472084393
11,Budhana,SAEEDA BEGAM,F,42,GEN,BSP,29971,63,30034,359140,241116,12.5230371513155
11,Budhana,YOGRAJ SINGH,M,44,GEN,RLD,23649,83,23732,359140,241116,9.89534253429512
11,Budhana,None of the Above,,,,NOTA,1286,0,1286,359140,241116,0.536213150981946
11,Budhana,SHOBHA RAM,M,65,GEN,IND,699,0,699,359140,241116,0.291456448317558
11,Budhana,MOHD. RASHEED KASSAR,M,39,GEN,IND,666,0,666,359140,241116,0.277696701830463
11,Budhana,DINESH KUMAR,M,25,SC,NINSHAD,606,5,611,359140,241116,0.254763791018638
11,Budhana,JAMEEL,M,63,GEN,NALP,399,1,400,359140,241116,0.166784805904182
11,Budhana,MANOJ,M,39,GEN,RKMP,360,1,361,359140,241116,0.150523287328524
11,Budhana,RIZWAN,M,32,GEN,IND,276,0,276,359140,241116,0.115081516073886
11,Budhana,CH. RAJKUMAR BALIYAN,M,58,GEN,IND,222,0,222,359140,241116,0.0925655672768211
11,Budhana,SUMAT PAL KASHYAP,M,59,GEN,SHS,145,0,145,359140,241116,0.060459492140266
11,Budhana,JAGAPAL,M,56,GEN,IND,136,0,136,359140,241116,0.0567068340074219
11,Budhana,ANIL,M,53,GEN,IND,105,1,106,359140,241116,0.0441979735646083
11,Budhana,MOHD. GULAFAM,M,46,GEN,IND,81,0,81,359140,241116,0.0337739231955969
12,Charthawal,VIJAY KUMAR KASHYAP,M,50,GEN,BJP,81842,204,82046,314338,206964,39.8385984675595
12,Charthawal,MUKESH KUMAR CHAUDHARY,M,42,GEN,SP,58722,93,58815,314338,206964,28.5584570712711
12,Charthawal,NOOR SALEEM RANA,M,46,GEN,BSP,47563,141,47704,314338,206964,23.1633535004322
12,Charthawal,SALMAN ZAIDI,M,40,GEN,RLD,14410,32,14442,314338,206964,7.01251784448351
