AC NO,Winner,Sex,Party
130,Agyash Ram Saran Verma,M,BJP       
131,Veer Vikram Singh Prince,M,BJP       
132,Sharadvir Singh,M,SP        
133,Roshan Lal Verma,M,BJP       
134,Chetram,M,BJP       
135,Suresh Kumar Khanna,M,BJP       
136,Manvendra Singh,M,BJP       
137,Harvinder Kumar Sahani,M,BJP       
138,Patel Ramkumar Verma,M,BJP       
139,Arvind Giri,M,BJP       
140,Manju Tyagi,F,BJP       
141,Awasthi Bala Prasad,M,BJP       
142,Yogesh Verma,M,BJP       
143,Saurabh Singh,M,BJP       
144,Lokendra Pratap Singh,M,BJP       
145,Shashank Trivedi,M,BJP       
146,Rakesh Rathore,M,BJP       
147,Suresh Rahi,M,BJP       
148,Suneel Verma,M,BJP       
149,Mahendra Singh,M,BJP       
150,Gyan Tiwari,M,BJP       
151,Narendra Singh Verma,M,SP        
152,Hargovind Bhargava,M,BSP       
153,Ram Krishna Bhargava,M,BJP       
154,Kunvar Madhvendra Pratap,M,BJP       
155,Rajani Tiwari,F,BJP       
156,Nitin Agarwal,M,SP        
157,Shyam Prakash,M,BJP       
158,Prabhash Kumar,M,BJP       
159,Ashish Kumar Singh Ashu,M,BJP       
160,Ram Pal Verma,M,BJP       
161,Raj Kumar Agrawal Urf Rajia,M,BJP       
162,Kuldeep Singh Sengar,M,BJP       
163,Bamba Lal,M,BJP       
164,Brijesh Kumar,M,BJP       
165,Pankaj Gupta,M,BJP       
166,Hriday Narayan Dikshit,M,BJP       
167,Anil Singh,M,BSP       
168,Jai Devi,F,BJP       
169,Avinash Trivedi,M,BJP       
170,Swati Singh,F,BJP       
171,Suresh Kumar Shrivastav,M,BJP       
172,Dr.Neeraj Bora,M,BJP       
174,Brijesh Pathak,M,BJP       
175,Dr. Reeta Joshi,F,BJP       
176,Ambrish Singh Pushkar,M,SP        
177,Ram Naresh Rawat,M,BJP       
178,Mayankeshwar Sharan Singh,M,BJP       
179,Rakesh Singh,M,INC       
180,Aditi Singh,F,INC       
181,Dal Bahadur,M,BJP       
182,Dhirendra Bahadur Singh,M,BJP       
183,Manoj Kumar Pandey,M,SP        
184,Suresh Kumar,M,BJP       
185,Rakesh Pratap Singh,M,SP        
186,Garima Singh,F,BJP       
187,Abrar Ahmad,M,SP        
188,Surya Bhan Singh,M,BJP       
189,Sitaram,M,BJP       
190,Deomani Dwivedi,M,BJP       
191,Rajesh Gautam,M,BJP       
192,Amar Singh,M,BJP       
193,Sushil Kumar Shakya,M,BJP       
194,Mejor Sunil Dutt Dwivedi,M,BJP       
195,Nagendra Singh Rathore,M,BJP       
196,Archana Pandey,F,BJP       
197,Kailash Singh Rajput,M,BJP       
198,Anil Kumar Dohare,M,SP        
199,Shivpal Singh Yadav,M,SP        
200,Sarita Bhadauriya,F,BJP       
201,Savitri Katheria,F,BJP       
202,Vinay Shakya,M,BJP       
203,Lakhan Singh,M,BJP       
204,Ramesh Chandra,M,BJP       
205,Nirmala Sankhwar,F,BJP       
206,Pratibha Shukla,F,BJP       
207,Mathura Prasad Pal,M,BJP       
208,Vinod Kumar Katiyar,M,BJP       
209,Bhagwati Prasad Sagar,M,BJP       
210,Abhijeet Singh Sanga,M,BJP       
211,Nilima Katiyar,F,BJP       
212,Satya Dev Pachauri,M,BJP       
213,Hazi Irfan Solanki,M,SP        
214,Amitabh Bajpai,M,SP        
215,Mahesh Chandra,M,BJP       
216,Sohil Akhtar Ansari,M,INC       
217,Satish Mahana,M,BJP       
218,Kamal Rani,F,BJP       
219,Moolchandra Singh,M,BJP       
220,Ku. Narendra Pal Singh,M,BJP       
221,Gauri Shankar,M,BJP       
222,Rajeev Singh &Quot;Parichha&Quot;,M,BJP       
223,Ravi Sharma,M,BJP       
224,Biharilal Arya,M,BJP       
225,Jawahar Lal Rajpoot,M,BJP       
226,Ramratan Kushwaha,M,BJP       
227,Manohar Lal,M,BJP       
228,Ashok Kumar Singh Chandel,M,BJP       
229,Manisha Anuragi,F,BJP       
230,Rakesh Kumar Goswami,M,BJP       
231,Brijbhushan Rajpoot Alias Guddu Bhaiya,M,BJP       
232,Brajesh Kumar Prajapati,M,BJP       
233,Chandrapal Kushwaha,M,BJP       
234,Raj Karan Kabir,M,BJP       
235,Prakash Dwivedi,M,BJP       
236,Chandrika Prasad Upadhyay,M,BJP       
237,R.K. Singh Patel,M,BJP       
238,Jai Kumar Singh Jaiki,M,ADAL      
239,Karan Singh Patel,M,BJP       
240,Vikram Singh,M,BJP       
241,Vikas Gupta,M,BJP       
242,Ranvendra Pratap Singh Urf Dhunni Bhaiya,M,BJP       
243,Krishna Paswan,F,BJP       
244,Aradhana Mishra Mona,F,INC       
245,Vinod Kumar,M,IND       
246,Raghuraj Pratap Singh,M,IND       
247,Rakesh Kumar Verma Alias Dr.R.K.Verma,M,ADAL      
248,Sangam Lal Gupta,M,ADAL      
249,Rajendra Pratap Singh Alias Moti,M,BJP       
250,Abhay Kumar Alias Dhiraj Ojha,M,BJP       
251,Sheetla Prasad,M,BJP       
252,Lal Bahadur,M,BJP       
253,Sanjay Kumar,M,BJP       
254,Vikramajeet Maurya,M,BJP       
255,Dr.Jamuna Prasad Saroj,M,ADAL      
259,Neelam Karwariya,F,BJP       
260,Ujjwal Raman Singh,M,SP        
261,Sidharth Nath Singh,M,BJP       
262,Harshvardhan Bajpai,M,BJP       
263,Nand Gopal Gupta Nandi,M,BJP       
264,Dr. Ajai Kumar,M,BJP       
265,Rajmani Kol,M,BJP       
266,Sakendra Pratap Verma,M,BJP       
267,Sharad Kumar Awasthi,M,BJP       
268,Dharmraj Singh Yadav Urf Suresh Yadav,M,SP        
269,Upendra Singh,M,BJP       
270,Satish Chandra Sharma,M,BJP       
271,Ram Chandra Yadav,M,BJP       
272,Baijnath Rawat,M,BJP       
273,Baba Gorakhnath,M,BJP       
274,Shobha Singh Chauhan,F,BJP       
275,Ved Prakash Gupta,M,BJP       
276,Indra Pratap Alias Khabbu Tiwari,M,BJP       
277,Lal Ji Verma,M,BSP       
278,Sanju Devi,F,BJP       
279,Aneeta,F,BJP       
280,Ritesh Pandey,M,BSP       
281,Ram Achal Rajbhar,M,BSP       
282,Akshayvaralal,M,BJP       
283,Madhuri Verma,F,BJP       
284,Yasar Shah,M,SP        
285,Sureshwar Singh,M,BJP       
286,Anupma Jaiswal,F,BJP       
287,Subhash Tripathi,M,BJP       
288,Mukut Bihari,M,BJP       
289,Mohammad Aslam,M,BSP       
290,Ram Feran,M,BJP       
291,Kailash Nath Shukla,M,BJP       
292,Shailesh Kumar Singh,M,BJP       
293,Ram Pratap Alias Shashikant Verma,M,BJP       
294,Palturam,M,BJP       
295,Vinay Kumar,M,BJP       
