pc_code,constituency,candidate,party,evm_votes,postal_votes,total_votes
1,"Saharanpur","IMRAN MASOOD","Indian National Congress",206908,160,207068
1,"Saharanpur","HAJI FAZLUR REHMAN","Bahujan Samaj Party",513268,871,514139
1,"Saharanpur","RAGHAV LAKHANPAL","Bharatiya Janata Party",489942,1780,491722
1,"Saharanpur","MOHD. UVAIS","Pragatishil Samajwadi Party (Lohia)",2437,1,2438
1,"Saharanpur","PAWAN KUMAR","Aapki Apni Party (Peoples)",726,1,727
1,"Saharanpur","BRAJPAL SINGH","Hindusthan Nirman Dal",1224,1,1225
1,"Saharanpur","YOGESH DAHIYA","Aam Aadmi Party",1444,5,1449
1,"Saharanpur","RAVINDER KUMAR","Inqalab Vikas Dal",718,0,718
1,"Saharanpur","AMAR BAHADUR","Independent",1090,1,1091
1,"Saharanpur","INDU DEVI","Independent",2197,2,2199
1,"Saharanpur","SHABNAM","Independent",4684,2,4686
1,"Saharanpur","NOTA","None of the Above",4277,7,4284
2,"Kairana","Tabassum Begum","Samajwadi Party",474339,462,474801
2,"Kairana","Pradeep Kumar","Bharatiya Janata Party",564380,2581,566961
2,"Kairana","Harendra Singh Malik","Indian National Congress",69245,110,69355
2,"Kairana","Manoj Kumar","Aapki Apni Party (Peoples)",908,5,913
2,"Kairana","Mukesh Devi","Mahasankalp Janta Party",932,2,934
2,"Kairana","Yogesh Kumar","Rashtriya Mazdoor Ekta Party",818,0,818
2,"Kairana","Rekha","Hindusthan Nirman Dal",615,0,615
2,"Kairana","Sheshraj","Bharatrashtra Democratic Party",472,0,472
2,"Kairana","Shripal Singh","Sarvjan Lok Shakti Party",1302,2,1304
2,"Kairana","Imran","Independent",523,1,524
2,"Kairana","Mohd Gufran Kazmi","Independent",539,1,540
2,"Kairana","Mohd Saleem","Independent",1138,0,1138
2,"Kairana","Harish Kumar","Independent",2128,2,2130
2,"Kairana","NOTA","None of the Above",3524,18,3542
3,"Muzaffarnagar","Ajit Singh","Rashtriya Lok Dal",565753,1501,567254
3,"Muzaffarnagar","Sanjeev Kumar Balyan","Bharatiya Janata Party",569535,4245,573780
3,"Muzaffarnagar","Krishan Pal Singh","Bharat Lok Sewak Party",2406,16,2422
3,"Muzaffarnagar","S.S.K.S. Gangwal","Bharatiya Bahujan Samta Party",1215,47,1262
3,"Muzaffarnagar","Jaipal Singh Saini","Jansatta Party",945,4,949
3,"Muzaffarnagar","Mangeram Kashyap","Majdoor Kisan Union Party",686,1,687
3,"Muzaffarnagar","Ashok","Independent",453,5,458
3,"Muzaffarnagar","Ankit","Independent",550,7,557
3,"Muzaffarnagar","Neel Kumar","Independent",4884,3,4887
3,"Muzaffarnagar","Yajpal Singh Rathi","Independent",2704,1,2705
3,"Muzaffarnagar","NOTA","None of the Above",5061,49,5110
4,"Bijnor","NASIMUDDIN SIDDIQUI","Indian National Congress",25699,134,25833
4,"Bijnor","RAJA BHARATENDRA SINGH","Bharatiya Janata Party",488061,3043,491104
4,"Bijnor","MALOOK NAGAR","Bahujan Samaj Party",559824,1221,561045
4,"Bijnor","ILAMSINGH","Pragatishil Samajwadi Party (Lohia)",3970,9,3979
4,"Bijnor","ANSH CHAITANYA MAHARAJ","Hindusthan Nirman Dal",1160,2,1162
4,"Bijnor","PARVEZ AKIL","All India Minorities Front",629,0,629
4,"Bijnor","BABLOO RAM","Bharatiya Sarvodaya Kranti Party",827,2,829
4,"Bijnor","MANGERAM","Peoples Party of India (Democratic)",842,1,843
4,"Bijnor","MUKESH KUMAR","All India Forward Bloc",2817,0,2817
4,"Bijnor","RAJIV CHOUDHARY","Bhartiya Kisan Party",1078,7,1085
4,"Bijnor","SONU","Jansatta Party",1535,0,1535
4,"Bijnor","MOHD. ZAHID","Independent",3237,1,3238
4,"Bijnor","MAHAK SINGH","Independent",2260,0,2260
4,"Bijnor","NOTA","None of the Above",4374,30,4404
5,"Nagina","OMVATI DEVI","Indian National Congress",19967,79,20046
5,"Nagina","GIRISH CHANDRA","Bahujan Samaj Party",567195,1183,568378
5,"Nagina","DR. YASHWANT SINGH","Bharatiya Janata Party",399348,2198,401546
5,"Nagina","AMICHAND","Rashtriya Samanta Dal",6154,2,6156
5,"Nagina","KAMESH KUMAR","Peoples Party of India (Democratic)",1751,1,1752
5,"Nagina","TEJ SINGH","Ambedkar Samaj Party",2165,4,2169
5,"Nagina","CHARAN SINGH","Independent",2877,4,2881
5,"Nagina","NOTA","None of the Above",6498,30,6528
6,"Moradabad","IMRAN PRATAPGARHI","Indian National Congress",59117,81,59198
6,"Moradabad","KUNWAR SARVESH KUMAR","Bharatiya Janata Party",549729,1809,551538
6,"Moradabad","Dr. S.T. HASAN","Samajwadi Party",648817,599,649416
6,"Moradabad","MOHD. ASLAM URF PASHA","Jan Shakti Dal",4593,1,4594
6,"Moradabad","Tej Singh Seny","Rashtriya Samanta Dal",761,1,762
6,"Moradabad","DILERAM","Bhartiya Harit Party",1886,0,1886
6,"Moradabad","NADIR ALI MANSOORI","Peace Party",1046,5,1051
6,"Moradabad","BHISHM JIT SINGH","Fauji Janta Party",560,4,564
6,"Moradabad","ROOPCHAND SINGH","Bharatiya Bahujan Samta Party",931,17,948
6,"Moradabad","AKEEL","Independent",890,0,890
6,"Moradabad","NARESH KUMAR SAINI","Independent",911,1,912
6,"Moradabad","PRINCE KUMAR SHARMA","Independent",2271,2,2273
6,"Moradabad","MUSARRAT HUSAIN","Independent",2417,0,2417
6,"Moradabad","NOTA","None of the Above",5740,17,5757
7,"Rampur","Jayaprada Nahata","Bharatiya Janata Party",448630,550,449180
7,"Rampur","Mohammad Azam Khan","Samajwadi Party",559018,159,559177
7,"Rampur","Sanjay Kapoor","Indian National Congress",34965,44,35009
7,"Rampur","Arshad Warsi","Minorities Democratic Party",1070,0,1070
7,"Rampur","Ishrat Khan","All India Minorities Front",499,0,499
7,"Rampur","Mohd. Khushi","United Democratic Front Secular",451,0,451
7,"Rampur","Saroj","Peoples Party of India (Democratic)",647,5,652
7,"Rampur","Javed Khan","Independent",1963,0,1963
7,"Rampur","Naim","Independent",1518,0,1518
7,"Rampur","Sameena Begum","Independent",2122,0,2122
7,"Rampur","Haneef Khan","Independent",2703,0,2703
7,"Rampur","NOTA","None of the Above",6575,2,6577
8,"Sambhal","MAJOR JAGAT PAL SINGH","Indian National Congress",12076,29,12105
8,"Sambhal","PARAMESHVAR LAL SAINI","Bharatiya Janata Party",482466,714,483180
8,"Sambhal","DR. SHAFIQUR REHMAN BARQ","Samajwadi Party",657505,501,658006
8,"Sambhal","ILYAS","Bhartiya Hind Fauj",4081,0,4081
8,"Sambhal","KARAN SINGH YADAV","Pragatishil Samajwadi Party (Lohia)",4195,3,4198
8,"Sambhal","BHOJRAJ","Swatantra Jantaraj Party",746,0,746
8,"Sambhal","RAM CHANDRA","Bharat Prabhat Party",645,0,645
8,"Sambhal","SHAHLA WAJID","Ambedkar Samaj Party",1044,4,1048
8,"Sambhal","HASAN RAZA","Rashtriya Ulama Council",1227,0,1227
8,"Sambhal","FIROZ KHAN","Independent",2733,1,2734
8,"Sambhal","MOHD. MASROOR","Independent",3628,0,3628
8,"Sambhal","VIRENDRA KUMAR PRAJAPATI","Independent",4637,4,4641
8,"Sambhal","NOTA","None of the Above",7226,4,7230
9,"Amroha","KANWAR SINGH TANWAR","Bharatiya Janata Party",536380,1454,537834
9,"Amroha","KUNWAR DANISH ALI","Bahujan Samaj Party",600744,338,601082
9,"Amroha","SACHIN CHOUDHARY","Indian National Congress",12454,56,12510
9,"Amroha","MATLOOB AHMAD","Pragatishil Samajwadi Party (Lohia)",946,8,954
9,"Amroha","RAJPAL SINGH SAINI","Jan Shakti Dal",1163,1,1164
9,"Amroha","AKHTAR","Independent",978,1,979
9,"Amroha","NARESH KUMAR","Independent",944,1,945
9,"Amroha","RAJPAL SINGH","Independent",1390,2,1392
9,"Amroha","(KUNWAR) ROBIN TYAGI","Independent",2055,1,2056
9,"Amroha","VIKAR AHMAD","Independent",3649,0,3649
9,"Amroha","NOTA","None of the Above",6605,12,6617
10,"Meerut","HAJI MOHAMMAD YAQOOB","Bahujan Samaj Party",580597,858,581455
10,"Meerut","RAJENDRA AGARWAL","Bharatiya Janata Party",582976,3208,586184
10,"Meerut","HARENDRA AGARWAL","Indian National Congress",34301,178,34479
10,"Meerut","AFZAL","Bahujan Maha Party",877,5,882
10,"Meerut","ARTI AGARWAL","Shivsena",946,11,957
10,"Meerut","KIRAN R. C. JATAV","Kartavya Rashtriya Party",500,12,512
10,"Meerut","DHARMENDRA","Bhartiya Janta Dal",479,10,489
10,"Meerut","NASIR ALI KHAN","Pragatishil Samajwadi Party (Lohia)",918,3,921
10,"Meerut","RAJESH GIRI","Sarvodaya Bharat Party",976,2,978
10,"Meerut","SHRAVAN KUMAR AGARWAL","Independent",1022,3,1025
10,"Meerut","SAHANSAR PAL SINGH","Independent",2213,2,2215
10,"Meerut","NOTA","None of the Above",6271,45,6316
11,"Baghpat","JAYANT CHAUDHARY","Rashtriya Lok Dal",500794,1493,502287
11,"Baghpat","Dr. SATYAPAL SINGH","Bharatiya Janata Party",519631,6158,525789
11,"Baghpat","ISTAKAR ALI","National Lokmat Party",1598,30,1628
11,"Baghpat","UTTAR KUMAR JINDAL","Bhartiya Naujawan Inklav Party",915,17,932
11,"Baghpat","DEVENDER","Aapki Apni Party (Peoples)",654,7,661
11,"Baghpat","PARVEEN YOGI","Bhartiya Nojawan Dal",1042,5,1047
11,"Baghpat","MANOJ RANA","Akhil Bhartiya Lok Dal",495,8,503
11,"Baghpat","CHAUDHARY MOHKAM","Pragatishil Samajwadi Party (Lohia)",685,22,707
11,"Baghpat","RAMKUMAR","Sarvjan Lok Shakti Party",1246,4,1250
11,"Baghpat","RUBY KASHYAP","Hindusthan Nirman Dal",609,24,633
11,"Baghpat","Dr. SALEEM AHMAD","Sabse Achchhi Party",550,6,556
11,"Baghpat","JAFAR","Independent",1396,4,1400
11,"Baghpat","SUBHASH","Independent",2450,10,2460
11,"Baghpat","NOTA","None of the Above",4996,45,5041
12,"Ghaziabad","Dolly Sharma","Indian National Congress",111730,214,111944
12,"Ghaziabad","Vijay Kumar Singh","Bharatiya Janata Party",942576,1927,944503
12,"Ghaziabad","Suresh Bansal","Samajwadi Party",442615,388,443003
12,"Ghaziabad","Ashok Sharma","Subhashwadi Bhartiya Samajwadi Party (Subhas Party)",2447,3,2450
12,"Ghaziabad","Divya Yog Maya Saraswati","Rashtriya Bharatiya Jan Jan Party",923,2,925
12,"Ghaziabad","Nagendra Kumar","Shivsena",713,1,714
12,"Ghaziabad","Mohan Lal","Republican Party of India (A)",1148,2,1150
12,"Ghaziabad","Rakesh Suri","Right to Recall Party",707,2,709
12,"Ghaziabad","Mohd. Salim Ahmed","Sabse Achchhi Party",801,3,804
12,"Ghaziabad","Sunil Nair","Rashtriya Lok Sarvadhikar  Party",3942,2,3944
12,"Ghaziabad","Sewa Ram Kasana","Pragatishil Samajwadi Party (Lohia)",4377,3,4380
12,"Ghaziabad","Amit Sharma","Independent",2435,0,2435
12,"Ghaziabad","NOTA","None of the Above",7478,17,7495
13,"Gautam Buddha Nagar","Dr. ARVIND KUMAR SINGH","Indian National Congress",41960,117,42077
13,"Gautam Buddha Nagar","Dr. MAHESH SHARMA","Bharatiya Janata Party",828164,2648,830812
13,"Gautam Buddha Nagar","SATVEER","Bahujan Samaj Party",493421,469,493890
13,"Gautam Buddha Nagar","JAGDEEP SINGH","Loktantrik Janshakti Party",2723,2,2725
13,"Gautam Buddha Nagar","JITENDRA SINGH","Pragatishil Samajwadi Party (Lohia)",1852,10,1862
13,"Gautam Buddha Nagar","DAYARAM","Aapki Apni Party (Peoples)",543,2,545
13,"Gautam Buddha Nagar","RAGHUVENDRA KUMAR","Subhashwadi Bhartiya Samajwadi Party (Subhas Party)",629,2,631
13,"Gautam Buddha Nagar","RAM PAL","Rashtriya Samaj Paksha",1291,3,1294
13,"Gautam Buddha Nagar","VINOD KUMAR NAGAR","Rashtriya Bharatiya Jan Jan Party",1360,6,1366
13,"Gautam Buddha Nagar","VINOD SHARMA","All Indian Rajiv Congress Party",1280,2,1282
13,"Gautam Buddha Nagar","SHERSINGH UPADHAYA","Rashtriya Janta Party",1260,4,1264
13,"Gautam Buddha Nagar","ASHOK KUMAR ADHANA","Independent",3929,10,3939
13,"Gautam Buddha Nagar","RODASH GUPTA","Independent",2892,2,2894
13,"Gautam Buddha Nagar","NOTA","None of the Above",8351,20,8371
14,"Bulandshahr","BANSHI SINGH","Indian National Congress",29288,177,29465
14,"Bulandshahr","BHOLA SINGH","Bharatiya Janata Party",677196,4125,681321
14,"Bulandshahr","YOGESH VERMA","Bahujan Samaj Party",390458,806,391264
14,"Bulandshahr","PRAMOD KUMAR","Rashtriya Samaj Paksha",3657,7,3664
14,"Bulandshahr","REENA DEVI","National Bhrashtachar Mukt Party",1434,19,1453
14,"Bulandshahr","VINAY KUMAR SINGH","Aapki Apni Party (Peoples)",916,1,917
14,"Bulandshahr","SATISH","Bharatiya Bahujan Parivartan  Party",1259,9,1268
14,"Bulandshahr","MANOJ KUMAR SINGH","Independent",3386,2,3388
14,"Bulandshahr","RADHIKA DEVI","Independent",5152,18,5170
14,"Bulandshahr","NOTA","None of the Above",5696,23,5719
15,"Aligarh","DR. AJEET BALIYAN","Bahujan Samaj Party",424890,2064,426954
15,"Aligarh","BIJENDRA SINGH CHAUDHARY","Indian National Congress",50346,534,50880
15,"Aligarh","SATISH KUMAR GAUTAM","Bharatiya Janata Party",651805,4410,656215
15,"Aligarh","AMAR SINGH MAHAUR","Swatantra Jantaraj Party",3678,3,3681
15,"Aligarh","DILEEP SHARMA","Peace Party",1044,1,1045
15,"Aligarh","DEEPAK CHAUDHARY","Pragatishil Samajwadi Party (Lohia)",4931,22,4953
15,"Aligarh","THAKUR MANOJ SINGH","Rashtravadi Party (Bharat)",1222,3,1225
15,"Aligarh","MOHD. SHAKEEL (ADV.)","Lok Dal",836,5,841
15,"Aligarh","SATISH CHANDRA SHARMA","Aam Aadmi Party",816,13,829
15,"Aligarh","SANJAY BALMIKI","Bhartiya Bhaichara Party",824,12,836
15,"Aligarh","ASHOK KUMAR PANDEY","Independent",796,1,797
15,"Aligarh","CHARAN SINGH","Independent",1173,2,1175
15,"Aligarh","LAXMI DHANGAR","Independent",5857,29,5886
15,"Aligarh","SHAHEEN","Independent",1596,3,1599
15,"Aligarh","NOTA","None of the Above",6216,52,6268
16,"Hathras","RAJVIR DILER","Bharatiya Janata Party",679799,4500,684299
16,"Hathras","RAMJI LAL SUMAN","Samajwadi Party",422588,1503,424091
16,"Hathras","TRILOKI RAM","Indian National Congress",23715,211,23926
16,"Hathras","BHUPENDRA KUMAR","Rashtriya Shoshit Samaj Party",1559,6,1565
16,"Hathras","RAJARAM","Lok Dal",2297,8,2305
16,"Hathras","TILAK SINGH","Independent",880,3,883
16,"Hathras","DINESH SAI","Independent",1392,2,1394
16,"Hathras","HARSWAROOP","Independent",3263,0,3263
16,"Hathras","NOTA","None of the Above",8542,26,8568
17,"Mathura","KUNWAR NARENDRA SINGH","Rashtriya Lok Dal",377319,503,377822
17,"Mathura","MAHESH PATHAK","Indian National Congress",27970,114,28084
17,"Mathura","HEMA MALINI","Bharatiya Janata Party",667342,3951,671293
17,"Mathura","OMPRAKASH","Swatantra Jantaraj Party",5090,5,5095
17,"Mathura","CHATTAR alias CHATRAPAL SINGH NISHAD","Bahujan Mukti Party",780,14,794
17,"Mathura","JAGVIR SINGH","Pragatishil Samajwadi Party (Lohia)",467,3,470
17,"Mathura","JASVANT SINGH BAGHEL","Rashtriya Shoshit Samaj Party",1240,5,1245
17,"Mathura","JASVEER SINGH","Rashtriya Naujawan Dal",1628,2,1630
17,"Mathura","DINESH GAUTAM","Bhartiya Anarakshit Party",2360,3,2363
17,"Mathura","RAMDEV GAUTAM","Bhartiya Lok Seva Dal",1260,1,1261
17,"Mathura","PRAMOD KRISHNA","Independent",1489,1,1490
17,"Mathura","PHAKKAD BABA","Independent",4084,2,4086
17,"Mathura","RAMDAS TYAGI","Independent",1295,3,1298
17,"Mathura","NOTA","None of the Above",5788,12,5800
18,"Agra","Preeta Harit","Indian National Congress",44877,272,45149
18,"Agra","Manoj Kumar Soni","Bahujan Samaj Party",434199,1130,435329
18,"Agra","Satyapal Singh Baghel","Bharatiya Janata Party",644459,2416,646875
18,"Agra","Chandra Pal","Adarsh Samaj Party",2798,4,2802
18,"Agra","Raja","Rashtriya Vyapari Party",1323,3,1326
18,"Agra","Ramji Lal Vidhyarthi","Peace Party",1462,6,1468
18,"Agra","Himanshi","Lok Gathbandhan Party",1405,3,1408
18,"Agra","Ambedkari Hasnuram Ambedkari","Independent",2767,1,2768
18,"Agra","Babu Lal","Independent",2379,2,2381
18,"Agra","NOTA","None of the Above",5786,31,5817
19,"Fatehpur Sikri","RAJKUMAR CHAHAR","Bharatiya Janata Party",662794,4353,667147
19,"Fatehpur Sikri","RAJ BABBAR","Indian National Congress",170889,1193,172082
19,"Fatehpur Sikri","SHREEBHAGWAN SHARMA","Bahujan Samaj Party",167517,526,168043
19,"Fatehpur Sikri","NAWAB GUL CHAMAN SHERWANI","VANCHITSAMAJ INSAAF PARTY",2198,1,2199
19,"Fatehpur Sikri","MANISHA SINGH","Pragatishil Samajwadi Party (Lohia)",1026,14,1040
19,"Fatehpur Sikri","VIJAY SINGH DHANGAR","Rashtriya Shoshit Samaj Party",1804,4,1808
19,"Fatehpur Sikri","SATYENDRA BAGHEL","Aam Janta Party (India)",959,6,965
19,"Fatehpur Sikri","SARVESH KUMAR","Bharatiya Majdoor Janta Party",820,2,822
19,"Fatehpur Sikri","SADAB NOOR","Adarsh Samaj Party",620,1,621
19,"Fatehpur Sikri","ANIL KUMAR KUSHWAHA","Independent",1442,1,1443
19,"Fatehpur Sikri","ARTI SHARMA","Independent",994,0,994
19,"Fatehpur Sikri","PASTAR THOMSAN MASSY","Independent",1103,0,1103
19,"Fatehpur Sikri","NARESH KUMAR","Independent",1580,1,1581
19,"Fatehpur Sikri","PURUSHOTTAM DAS (FAUZI BHAI)","Independent",3415,14,3429
19,"Fatehpur Sikri","RAM BAHORI","Independent",3179,3,3182
19,"Fatehpur Sikri","NOTA","None of the Above",10664,28,10692
20,"Firozabad","Akshay Yadav","Samajwadi Party",465686,1352,467038
20,"Firozabad","Dr. Chandra Sen Jadon","Bharatiya Janata Party",494050,1769,495819
20,"Firozabad","Upendra Singh Rajput","Bharatiya Kisan Parivartan Party",9486,17,9503
20,"Firozabad","Shivpal Singh Yadav","Pragatishil Samajwadi Party (Lohia)",91651,218,91869
20,"Firozabad","Chaudhary Basheer","Independent",2539,6,2545
20,"Firozabad","Rajveer","Independent",2409,7,2416
20,"Firozabad","NOTA","None of the Above",6659,17,6676
21,"Mainpuri","PREM SINGH SHAKYA","Bharatiya Janata Party",428559,1978,430537
21,"Mainpuri","MULAYAM SINGH YADAV","Samajwadi Party",523145,1781,524926
21,"Mainpuri","OMBEER LODHI","Jan Seva Sahayak Party",2574,6,2580
21,"Mainpuri","KULDEEP KUMAR","Bhartiya Kisan Party",1173,22,1195
21,"Mainpuri","CHAKRAPAN","Jan Adesh Akshuni Sena",1809,3,1812
21,"Mainpuri","TEJ PRATAP SINGH JATAV","Moulik Adhikar Party",1728,2,1730
21,"Mainpuri","RAJAT KUMAR","Bhartiya Jan Nayak Party",619,4,623
21,"Mainpuri","RAVINDRA SINGH KATAR","Bhartiya Navodaya Party",617,2,619
21,"Mainpuri","SHYAM SINGH","Swatantra Jantaraj Party",1051,2,1053
21,"Mainpuri","HARIRAM SHAKYA","Voters Party  International",1119,2,1121
21,"Mainpuri","RAVINDRA SINGH YADAV","Independent",977,3,980
21,"Mainpuri","SAVENDRA SINGH","Independent",2628,3,2631
21,"Mainpuri","NOTA","None of the Above",6698,13,6711
22,"Etah","Ku. Devendra Singh Yadav","Samajwadi Party",422054,624,422678
22,"Etah","Rajveer Singh (Raju Bhaiya)","Bharatiya Janata Party",544267,1081,545348
22,"Etah","Atar Singh","Rashtriya Shoshit Samaj Party",5104,6,5110
22,"Etah","Anuj Kumar","Subhashwadi Bhartiya Samajwadi Party (Subhas Party)",834,4,838
22,"Etah","Anand Prakash Singh Rajput","Rashtriya Backward Party",582,2,584
22,"Etah","Naresh Chandra","Bhartiya Shakti Chetna Party",480,2,482
22,"Etah","Bharat Singh","Rashtriya Kranti Party",665,1,666
22,"Etah","Rashmi Yadav","Pragatishil Samajwadi Party (Lohia)",1459,11,1470
22,"Etah","Suraj Singh","Jan Adhikar Party",5121,5,5126
22,"Etah","Ashok Kumar","Independent",540,2,542
22,"Etah","Indrapal","Independent",711,1,712
22,"Etah","Parvati Nandan","Independent",1858,0,1858
22,"Etah","Satendra Kumar Panda","Independent",1577,0,1577
22,"Etah","Hari Om","Independent",6337,2,6339
22,"Etah","NOTA","None of the Above",6264,13,6277
23,"Badaun","Dharmendra Yadav","Samajwadi Party",491959,939,492898
23,"Badaun","Saleem Iqbal Shervani","Indian National Congress",51896,51,51947
23,"Badaun","Dr. Sanghmitra Maurya","Bharatiya Janata Party",510343,1009,511352
23,"Badaun","Kailash Kumar Mishra","All India Forward Bloc",4346,1,4347
23,"Badaun","Mahesh Shrivastav","Kalyankari Jantantrik Party",1333,3,1336
23,"Badaun","Atul Kumar","Independent",1680,1,1681
23,"Badaun","Kirpa Shankar Shakya","Independent",2218,1,2219
23,"Badaun","Swami Paglanand","Independent",4085,0,4085
23,"Badaun","Hari Singh","Independent",2636,1,2637
23,"Badaun","NOTA","None of the Above",8602,4,8606
24,"Aonla","DHARMENDRA KASHYAP","Bharatiya Janata Party",536377,1298,537675
24,"Aonla","RUCHIVIRA","Bahujan Samaj Party",423100,832,423932
24,"Aonla","KUNWAR SARVARAJ SINGH","Indian National Congress",62407,141,62548
24,"Aonla","MO. ATEEQ","National Fifty Fifty Front",1308,0,1308
24,"Aonla","IRSHAD ANSARI ADVOCATE","VANCHITSAMAJ INSAAF PARTY",909,3,912
24,"Aonla","RISHIPAL","Jan Shakti Ekta Party",1555,2,1557
24,"Aonla","DINESH KUMAR","Hindusthan Nirman Dal",1056,0,1056
24,"Aonla","DHARMENDRA KUMAR","Shivsena",1376,2,1378
24,"Aonla","PRAMOD KUMAR YADAV","Bhartiya Krishak Dal",941,2,943
24,"Aonla","PRITI KASHYAP","Rashtriya Mazdoor Ekta Party",1736,3,1739
24,"Aonla","RAMPHAL SHAKYA","Bahujan Mukti Party",1659,1,1660
24,"Aonla","SUNIL KUMAR","Pragatishil Samajwadi Party (Lohia)",2109,8,2117
24,"Aonla","LAKSHMI","Independent",3097,0,3097
24,"Aonla","HEMENDRA PAL SINGH","Independent",3675,0,3675
24,"Aonla","NOTA","None of the Above",9188,10,9198
25,"Bareilly","PRAVEEN SINGH ARON","Indian National Congress",74003,203,74206
25,"Bareilly","BHAGWAT SARAN GANGWAR","Samajwadi Party",397403,585,397988
25,"Bareilly","SATISH KUMAR","Communist Party of India",7515,4,7519
25,"Bareilly","SANTOSH KUMAR GANGWAR","Bharatiya Janata Party",563533,1737,565270
25,"Bareilly","JAGPAL SINGH YADAV","Akhand Samaj Party",2653,2,2655
25,"Bareilly","MANOJ VIKAT","Bahujan Nyay Dal",681,0,681
25,"Bareilly","YATENDRA SINGH","Bahujan Samyak Party (Mission)",498,3,501
25,"Bareilly","RAHEESH MIYA","VANCHITSAMAJ INSAAF PARTY",644,1,645
25,"Bareilly","RABIYA AKHTAR","Khusro Sena Party",687,0,687
25,"Bareilly","LAEEK AHMAD MANSOORI","Naitik Party",851,0,851
25,"Bareilly","SAMAN TAHIR","Pragatishil Samajwadi Party (Lohia)",2482,6,2488
25,"Bareilly","USHA AGARWAL","Independent",1071,1,1072
25,"Bareilly","ZAVED KHAN","Independent",2789,0,2789
25,"Bareilly","NITIN MOHAN","Independent",1192,1,1193
25,"Bareilly","RAKESH AGARWAL ADVOCATE","Independent",1985,1,1986
25,"Bareilly","SYED RASHID ALI CHAMAN","Independent",3984,3,3987
25,"Bareilly","NOTA","None of the Above",3797,27,3824
26,"Pilibhit","Feroze Varun Gandhi","Bharatiya Janata Party",702755,1794,704549
26,"Pilibhit","Hemraj Verma","Samajwadi Party",447140,1782,448922
26,"Pilibhit","Anita Tripathi","Shivsena",3961,13,3974
26,"Pilibhit","Dr. Bharat","Janata Dal  (United)",1606,18,1624
26,"Pilibhit","Dr. Sita Ram Rajput","Sabka Dal United",1097,1,1098
26,"Pilibhit","Sanjay Kumar Bharti","Naitik Party",689,7,696
26,"Pilibhit","Md. Hanif","Pragatishil Samajwadi Party (Lohia)",1275,1,1276
26,"Pilibhit","Urvashi Singh","Independent",861,3,864
26,"Pilibhit","Kaif Raza Khan","Independent",924,2,926
26,"Pilibhit","Jafri Begum","Independent",1627,6,1633
26,"Pilibhit","Munesh Singh","Independent",2128,1,2129
26,"Pilibhit","Varun Gandhi","Independent",4471,12,4483
26,"Pilibhit","Surendra Kumar Gupta","Independent",4440,2,4442
26,"Pilibhit","NOTA","None of the Above",9916,57,9973
27,"Shahjahanpur","Amar Chandra Jauhar","Bahujan Samaj Party",417337,3235,420572
27,"Shahjahanpur","Arun Kumar Sagar","Bharatiya Janata Party",686352,2638,688990
27,"Shahjahanpur","Brahm Swaroop Sagar","Indian National Congress",35055,228,35283
27,"Shahjahanpur","Manish Chandra Kori","Communist Party of India",9462,2,9464
27,"Shahjahanpur","Kishan Lal","Sanyukt Vikas Party",2249,1,2250
27,"Shahjahanpur","Kuwar Pal Singh Gautam","Jan Seva Sahayak Party",1150,1,1151
27,"Shahjahanpur","Dharmvir Balmiki","Bhartiya Bhaichara Party",1155,4,1159
27,"Shahjahanpur","Narveer Fauji","Pragatishil Samajwadi Party (Lohia)",2094,10,2104
27,"Shahjahanpur","Manohar Lal Saroj","Netaji Subhash Chander Bose Rashtriya Azad Party",2340,2,2342
27,"Shahjahanpur","Ramesh Chandra Verma","Manav Kranti Party",1343,1,1344
27,"Shahjahanpur","Sohan Pal alias Sonpal","Bhartiya Krishak Dal",1711,1,1712
27,"Shahjahanpur","Arun Kumar","Independent",2836,1,2837
27,"Shahjahanpur","Vineet","Independent",2604,0,2604
27,"Shahjahanpur","Shyamacharan","Independent",5308,0,5308
27,"Shahjahanpur","NOTA","None of the Above",8978,59,9037
28,"Kheri","Ajay Kumar","Bharatiya Janata Party",609285,304,609589
28,"Kheri","Zafar Ali Naqvi","Indian National Congress",92127,28,92155
28,"Kheri","Dr. Purvi Verma","Samajwadi Party",390665,117,390782
28,"Kheri","Vipnesh Shukla","Communist Party of India",11857,0,11857
28,"Kheri","Asif Khan","Bhartiya Kisan Party",1626,0,1626
28,"Kheri","Krishna Kumar Yadav","Lok Jan Sangharsh Party",968,0,968
28,"Kheri","Bandana Gupta","Bhartiya Shakti Chetna Party",1016,1,1017
28,"Kheri","Mahesh Chandra Verma Advocate","Hindusthan Nirman Dal",1002,0,1002
28,"Kheri","Moh. Mumtaz Raza","Rashtriya Janwadi Party (Socialist)",1059,1,1060
28,"Kheri","Ram Jeevan","Bahujan Awam Party",1077,1,1078
28,"Kheri","Shrikrishna Verma","Peace Party",1989,2,1991
28,"Kheri","Ajay Kumar Dixit","Independent",1654,0,1654
28,"Kheri","Krishna Kumar","Independent",2496,0,2496
28,"Kheri","Paro Kinner","Independent",5315,0,5315
28,"Kheri","Manoj Kumar Singh","Independent",5320,0,5320
28,"Kheri","NOTA","None of the Above",8747,3,8750
29,"Dhaurahra","ARSHAD ILIYAS SIDDIQUI","Bahujan Samaj Party",352093,201,352294
29,"Dhaurahra","KUNWAR JITIN PRASADA","Indian National Congress",162727,129,162856
29,"Dhaurahra","REKHA VERMA","Bharatiya Janata Party",512582,323,512905
